English,Akuapem Twi
He wishes to erase bad memories.,Ɔpɛ sɛ oyi nneɛma bɔne fi ne tirim.
"The house has a dining room, a bedroom and a study.","Ofie no wɔ baabi a wodidi, ɔdan a wɔda mu ne adesua."
It's easy for you.,Ɛnyɛ den mma wo.
The dog looked into the water.,ɔkraman no hwɛɛ nsu no mu.
I swam a lot during summer vacation.,"Sɛ edu ahohuru bere a, me guare nso paa."
What's Asamoah's last name?,Asamoah din a etwa to ne dɛn?
Rebel forces prepared to fight.,Asraafo atuatewfo siesiee wɔn ho sɛ wɔbɛko.
The judge banged his gavel.,Ɔtemmufo no bɔɔ n'asen.
Asamoah asked me if I knew anybody who could translate from French into English.,Asamoah bisaa me sɛ minim obiara a obetumi akyerɛ ase afi Franse kasa mu akɔ Engiresi kasa mu anaa.
I was late.,Ná m’aka akyi.
They paid customs duties.,Na wotua amanne ahorow ho ka.
Asamoah's funny.,Sɛ́ afifide ho yɛ anika.
Asamoah has two cats. One is white and the other is black.,"Asamoah wɔ agyinamoah abien biako yɛ fitaa na biako yɛ tuntum, na biako nso yɛ tuntum."
He's just an ordinary man.,Ɔyɛ onipa biara kɛkɛ.
Tell Asamoah we don't want to go.,Ka kyerɛ Nekoh sɛ yɛmpɛ sɛ yɛkɔ.
Maybe you should take the children somewhere.,Ebia ɛsɛ sɛ wode mmofra no kɔ baabi.
It is their only choice.,Eyi ne ade biako a ɛwɔ sɛ wɔ paw
I'm a baker.,Me to paano
The house is clean.,Ofie hɔ tew.
Asamoah doesn't want any trouble.,Asamoah mpɛ ɔhaw biara.
"On arriving home, I discovered the burglary.","Bere a miduu fie no, mihuu akronfo adwuma a wo dii no."
She was wearing a splendid outfit.,Ná ɔhyɛ atade fɛfɛ bi.
The rope broke under the strain.,Ɔhaw no maa nhama no mu bui.
Do you want to eat?,So wopɛ sɛ wudi?
What's this chair doing here?,Dɛn na agua yi reyɛ wɔ ha?
I thought you had a date with Asamoah.,Ná misusuw sɛ wo ni Asamoah hyɛ ɛda bi sɛ mo di be pue.
"Pardon, do you have the time?","Me serɛ wo, wowɔ bere?"
You are mad.,Wo bo afuw.
He will be waiting for you.,Ɔretwɛn wo.
I hope this won't affect our friendship.,Migye di sɛ eyi rennya yɛn adamfofa no so nkɛntɛnso.
May I speak with the teacher?,So metumi ne ɔkyerɛkyerɛfo no akasa?
I gave the beggar all the money I had on me.,Mede sika a na mewɔ nyinaa maa nea na onni bi no.
The bill went through.,Wɔbɔɔ ho ka nyinaa wiei.
Asamoah wants us to go to church.,Sɛnea Asamoah pɛ sɛ yɛkɔ asɔre.
How long does it take to walk to the station?,Egye bere tenten ahe na obi atumi anantew akɔ adwumayɛbea?
That is your book.,Ɛno ne wo nhoma.
I heard the news on the radio.,Metee asɛm no wɔ radio so.
Asamoah didn't tell Boatemaa how much money he had spent.,"Sɛ́ Asamoah no, wanka sika dodow a na ɔde ayɛ saa no ankyerɛ Boatemaa."
Diamonds are forever.,Asamoah mpɛ aduan a ɛyɛ hyew.
Asamoah doesn't like hot food.,Asamoah mpɛ aduan a ɛyɛ hyew.
I did not want to alarm you.,Ná mempɛ sɛ mebɔ wo hu.
"Oh, by the way, I have something to show you.","Oo, mewɔ biribi a mede bɛkyerɛ wo."
Asamoah discovered that Boatemaa was in trouble and went to help her.,"Bere a Asamoah hui sɛ Boatemaa ho akyere no no, ɔboaa no."
The policeman arrested the man on the spot.,Polisini no kyeree ɔbarima no amonom hɔ ara.
He was sitting with his arms folded.,Ná ɔtenaase na wa moa ne nsa.
When have I told a lie?,Bere bɛn na madi atoro?
Asamoah can't just do anything he wants.,Sɛnea Hutter ntumi nyɛ biribiara a ɔpɛ kɛkɛ no.
Asamoah had his car key in his left hand.,Na Asamoah asɔ ne kar safe wɔ ne nsa benkum so.
There is a lady downstairs who wants to speak to you.,Ɔbea bi wɔ hɔ a ɔpɛ sɛ ɔkasa kyerɛ wo.
Asamoah doesn't want to live in Boston for more than a year.,ɔmpɛ sɛ ɔtra Boston bɛboro afe.
It's very clean.,Ɛho tew yiye.
What kind of fruit do you want?,Aba bɛn na wopɛ?
Look at this picture.,Hwɛ saa nfoniyi yi.
Asamoah isn't religious.,"Sɛ́ Holah no, ɔnyɛ nyamesomfo."
You look great in these photos.,"Wohwɛ mfonini ahorow yi a, wuhu sɛ wo ho ayɛ fɛ."
I've heard that Asamoah buys things on the black market.,Mahu sɛ Isaha tɔ nneɛma wɔ sum ase gua so.
I think that someone went there.,Misusuw sɛ obi kɔɔ hɔ.
She cooked a special dinner for him.,Ná ɔnoa aduan soronko bi ma no.
I don't want to go back to prison.,Mempɛ sɛ mekɔ afiase bio.
What do I need to do now?,Dɛn na ehia sɛ meyɛ seesei?
Asamoah can't remember his kindergarten teacher's name.,"Sɛ́ Asamoah no, ontumi nkae ne KG kyerɛkyerɛfo no din."
"I don't like it, but I will do it anyway.","M'ani nnye ho, nanso ɔkwan biara so mɛyɛ."
He heard footsteps.,Ɔtee anammɔn ahorow.
I saw him in the park.,Mihuu no wɔ agodibea hɔ.
She's teaching us French.,Ɔrekyerɛkyerɛ yɛn Franse kasa.
Nothing will distract us.,Biribiara ntumi nnye yɛn asabawmu.
That street is very noisy.,Saa kwan no yɛ dede yiye.
I love Christmas carols.,M'ani gye Buronya nnwom ho.
The enemy attacked us at night.,Atamfo no tow hyɛɛ yɛn so anadwo.
He's a creationist.,Ɔyɛ abɔde mu nipa.
She wears the same kind of clothes as her sister wears.,Ɔhyɛ ntade a ne nuabea hyɛ no ara bi.
I hate my job.,M'ani nnye m'adwuma ho.
Asamoah and Boatemaa were in the same class last year.,"Afe a etwaam no, na Asamoah ne Boatemaa nso ka adesuakuw koro no ara ho."
Did you have a good sleep?,So na woda yiye?
The climate of New Zealand is similar to that of Japan.,New Zealand wim tebea te sɛ Japan de no ara.
She took the punishment with a smile.,Ɔde serew na egyee asotwe no.
He has more money than is needed.,Ɔwɔ sika pii sen nea wohia.
How do you like living on your own?,W'ani gye ho sɛ w'ankasa wobɛtra ase?
He gets up at 7.,ɔsɔre anɔpa nnɔn son.
That's disappointing.,Ɛno yɛ huammɔdi.
The frame of the house should be finished in a day or two.,Ɛsɛ sɛ yewie ofie no si da koro anaa nnanu.
I've been feeling a little restless.,Me ho yeraw me kakra.
Our sister will be with us soon.,Yɛn nuabea no bɛka yɛn ho nnansa yi ara.
Never compare your wife to another woman.,Mfa wo yere ntoto ɔbea foforo ho da.
You can't learn a language without making mistakes.,Wuntumi nsua kasa bere a wunni mfomso.
Please accept our apologies for not filling your order sooner.,"Yɛsrɛ wo, gye yɛn kyɛwpa no tom, efisɛ woamfa nneɛ ma no ammrɛ wo ntɛm."
There are around three thousand mosques in Istanbul.,Mosques bɛyɛ mpem abiɛsa na ɛwɔ Istanbul.
Do seedless watermelons exist?,So watermelon a aba ennim no wɔ hɔ?
Some runners drink water as they are running.,"Sɛ mmirikatufo no retu mmirika a, ebinom nom nsu."
I find myself in a rather delicate situation.,Mihu sɛ mewɔ tebea bi a ɛyɛ mmerɛw mu.
I need to know who you are.,Ehia sɛ mihu nipa ko a woyɛ.
Asamoah left right away.,Asamoah fii hɔ ntɛm ara.
I had no choice but to go.,"Ná biribiara nni hɔ a metumi ayɛ, gye sɛ mekɔ."
The cloth's very faded.,Ná ntama no asɛe koraa.
Do you know who the mayor of Boston is?,So wunim onipa ko a wɔfrɛ no Boston kurow sohwɛfo?
"Long ago, the Greeks would frequently hold great athletic events.","Tete no, na Helafo taa di agoru akɛse."
Let's work.,Ma yɛnyɛ adwuma.
Maybe he did it on purpose.,Ebia atirimpɔw nti na ɔyɛɛ saa.
China is a leading exporter of arms.,China yɛ akode a wɔde kɔ amannɔne sen biara.
They went to Edinburgh to escape from the summer heat.,Wɔbɔɔ mmɔden guan fii Edinburgh ahohuru ɔhyew bere mu.
I work at a language school.,Meyɛ adwuma wɔ sukuu bi a wɔka ɔman foforo so kasa mu.
I planted roses in the garden.,Meduae nhwiren wɔ turo no mu.
Asamoah plans to go on a vacation next week.,"Dapɛn a edi hɔ no, Koos yɛɛ n'adwene sɛ ɔbɛkɔ akwamma."
"I didn't want his help, but I had to accept it.","Ná mempɛ sɛ ɔboa me, nanso na ɛsɛ sɛ migye tom."
I paid 800 yen for this book.,Mede yen apem awotwe na ɛtɔɔ nhoma yi.
I believe that the boy is honest.,Migye di sɛ abarimaa no di nokware.
He knows that you know.,Onim sɛ wunim.
Asamoah is sweating like a pig.,Asamoah ho fifiri te sɛ ɔforote.
Teenagers often wear strange clothes.,"Mpɛn pii no, mmerante ne mmabaa hyɛ ntade huhuhuu."
He lost his position just because he refused to tell a lie.,"Esiane sɛ wanni atoro nti, ne dibea fii ne nsa."
She has wine.,Ɔwɔ nsã.
He's a weird guy.,Ɔyɛ obi a ne ho ye huu paa
Asamoah's dog is well-trained.,"Sɛ́ Asamoah kraman no, wɔ nimdeɛ yiye."
The lawyer has many clients.,Mmaranimfo no wɔ nnipa pii a ɔboa wɔn.
"Asamoah, who had been working all day, wanted to have a rest.",Ná Asamoah a ɔyɛ adwuma da mũ nyinaa no pɛ sɛ ogye n'ahome.
He shot him in the knee.,Ɔtoo tuo bɔ ne kotodwe mu.
Asamoah wanted to visit North America.,Ná Holah pɛ sɛ ɔkɔ Amerika Atifi fam.
I rang the bell six times.,Mebɔɔ dɔn no mpɛn asia.
What is happening?,Dɛn na ɛrekɔ so?
I have to call my father.,Ɛsɛ sɛ mefrɛ me papa.
I had my radio repaired by him.,Memaa ɔno ankasa siesiee me radio.
Asamoah is about to leave.,Ná aka kakra na Asamoah afi hɔ.
We have used up the coal.,Yɛde biriw adi dwuma.
"Any emotion, if it is sincere, is involuntary.","Sɛ atinka biara fi komam a, ɛyɛ nea wontumi nte ase."
The boy grew up to be a great man.,Abarimaa no nyin bɛyɛɛ onipa kɛse.
"Asamoah, where are you?","Sɛ́ Hia no, ɛhe na wowɔ?"
The dragon is an imaginary creature.,ɔtweaseɛ no nyɛ abɔde bi a ɔwɔ hɔ ankasa.
"I'm just looking, thank you.","Merehwɛ kɛkɛ, meda wo ase."
This isn't sugar.,Eyi nyɛ asikre.
He stirred the paint before using it.,Ɔkanyan aduru no ansa na ɔde redi dwuma.
How does it feel to be back?,"Sɛ wosan ba fie a, wobɛte nka dɛn?"
Who is coming?,Hena na ɔreba?
Boatemaa has just come home.,Saa bere yi ara na Boatemaa aba fie.
He paid me a compliment.,Ɔde nkamfo maa me.
Asamoah isn't as busy as you are.,Asamoah nni adagyew te sɛ wo
"Asamoah and Boatemaa were speaking in French, but switched to English when John entered the room.","Bere a John duu dan no mu no, na Asamoah ne Boatemaa reka Franse kasa, nanso bere a John duu dan no mu no, wɔsesaa no kɔɔ Engiresi kasa mu."
Looks like we barked up the wrong tree.,Hwɛ sɛ yɛreboro dua bɔne no.
I didn't tell them.,Ná manka nkyerɛ wɔn.
Asamoah took Boatemaa home.,Asamoah de Boatemaa kɔɔ fie.
Do you still think you'll be able to attend the meeting?,So woda so ara susuw sɛ wubetumi akɔ nhyiam no bi?
Most elevators operate automatically.,Afiri a wɔde foro adan no mu dodow no ara yɛ adwuma kwa.
I don't mind waiting.,Ɛmfa me ho sɛ m’etwɛn
Asamoah looks kind of tired.,Ɛte sɛ nea na Asamoah abrɛ.
I think that he is honest.,Misusuw sɛ odi nokware.
He will be really pleased.,N'ani begye ankasa.
I think so.,Misusuw saa.
That's a lot of money.,Ɛyɛ sika pii.
She gave the dog to her friends.,Ɔde ɔkraman no maa ne nnamfo.
Boatemaa wouldn't let Asamoah kiss her.,Na Boatemaa mma kwan mma Asamoah no nfew n'ano.
You should brush your teeth at least twice a day.,"Anyɛ yiye koraa no, ɛsɛ sɛ wotwi wo se mprenu da biara."
Each of them has a bicycle.,Wɔn mu biara wɔ sakre.
I'd hate to disappoint Asamoah.,M'ani rennye ho sɛ megu Asamoah anim ase.
The meeting took place last week.,Wɔyɛɛ nhyiam no dapɛn a etwaam no.
They're involved.,Wɔde wɔn ho hyem.
It's now or never.,Ɛwɔ hɔ nnɛ anaa ɛnte saa koraa.
I thought you said your name was Asamoah.,Ná misusuw sɛ woka sɛ wo din de Asamoah.
Asamoah asked me if he was on the list of people invited to the party.,Asamoah bisaa me sɛ ebia ɔka nkurɔfo a wɔtoo nsa frɛɛ wɔn baa apontow no ase no ho anaa.
Only one other president had ever been impeached.,titrani biako pɛ na wɔn tuu no fii adeɛ so saa da.
I did not know this.,Ná minnim eyi.
This is surprising.,Eyi yɛ nwonwa.
This shop sells very good shoes.,Saa sotɔɔ yi tɔ mpaboa pa paa.
Will you turn on the television?,So wobɛma television no aso anaa?
She caught him cheating on a test.,Ɔkyeree no wɔ sɔhwɛ bi mu.
They released a new album.,Woyii nhoma foforo adi.
Do you have a mobile phone?,So wowɔ telefon a wokura kyin?
Asamoah had his picture taken with Boatemaa.,Asamoah ne Boatemaa twaa mfonini.
We're going to see him right now.,Yɛbɛsan ahu no seesei ara.
There is a book on the table.,Nhoma bi wɔ pon so.
I don't want you to treat me any differently.,Mempɛ sɛ wo ne me di nsɛm wɔ ɔkwan soronko so.
You may choose whichever you want.,Wubetumi apaw nea wopɛ biara.
He speaks Russian perfectly.,Ɔka Russia kasa pɛpɛɛpɛ.
It will cost more than ten thousand yen.,Egye bɛboro yen mpem du.
It's a common mistake.,Ɛyɛ mfomso a abu so.
"In my family, the punishment for lying was severe.","Wɔ m'abusua mu no, na atorodi ho asotwe no mu yɛ den yiye."
"At first, I mistook you for your brother.","Mfiase no, midii mfomso susuw sɛ na wo yɛ wo nuabarima no."
We had some visitors yesterday.,Yɛnyaa ahɔhuɔ bi nnura no
I'm concerned about Asamoah.,Me dwene Asamoah ho paa
Is there somebody else here?,So biribi foforo wɔ ha?
She grew roses.,Odua Rose
We want to know.,Yɛpɛ sɛ yehu.
Have you ever played dominoes?,So woabɔ dominoe pɛn?
He is studying law at the university.,Osua mmara wɔ sukuupɔn mu.
Would you please mail this letter by airmail?,Mesrɛ wo fa krataa yi mena wimhyɛn?
Did you learn it from him?,So wusuaa biribi fii ne hɔ?
The problem had to be faced.,Ná ɛsɛ sɛ wodi ɔhaw no ho dwuma.
I need to know why you're here.,Ɛho hia sɛ mihu nea enti a wowɔ ha.
I'll come straight to the point. You're fired.,"Mɛba asɛm no so tẽẽ, na wɔayi wo adi."
It's not my business.,Ɛnyɛ m'adwuma.
I think it's time for me to say goodbye.,Misusuw sɛ bere aso sɛ meka byebye.
Are you listening to me?,So woretie me?
Do we have enough flour?,So yɛwɔ esiam a ɛdɔɔso?
The way he spoke attracted the attention of a famous writer.,Ɔkyerɛwfo bi a wagye din ani ani gyee ɔkwan a ɔfaa so kasae no ho.
She likes cake a whole lot.,N'ani gye keeki ho yiye.
"Not only were we hungry, but we were also suffering from thirst.","Ɛnyɛ ɔkɔm nko na na ɛde yɛn, na mmom na sukɔm de yɛn nso."
Just stand up.,Gyina hɔ kɛkɛ.
Have you finished writing your thesis?,So woakyerɛw wo krataa no awie?
It has been cold since yesterday.,"Efi nnura enyumere nyinaa no,n’awɔw wom."
"Of course, a license is needed to operate a crane.","Nokwarem no, wohia tumi krataa na wɔde ayɛ adwuma."
Asamoah finished off the ice cream that was in the freezer.,Asamoah dii ice cream a ɛwɔ fridge ni mo wiei.
I'm happy Asamoah liked it.,M'ani agye sɛ Asamoah pɛ.
I don't have much money.,Minni sika pii.
Somebody called my name in the dark.,Ebinom frɛɛ me wɔ sum mu.
I'm extremely confident.,Mewɔ ahotoso kɛse.
Some people eat sushi with their hands.,Ebinom de wɔn nsa di sushi.
We stopped talking so that we could hear the music.,Wogyaee kasa sɛnea ɛbɛyɛ a yɛbɛte nnwom no.
Show me the way.,Kyerɛ me kwan.
Canada is not a paradise.,Canada nyɛ paradise.
Japan is very different from what it was fifty years ago.,Japan nte sɛ nea na ɛte mfe aduonum a atwam ni no koraa.
I like that tie of yours.,M'ani gye wo tie no ho.
You should eat vegetables.,Ɛsɛ sɛ wudi atosode.
Both my sisters are teachers.,Me nuabeanom baanu nyinaa yɛ akyerɛkyerɛfo.
I have lived in Tokyo since 1985.,Ma tena Tokyo fi 1985.
Asamoah fixed the broken radio.,Asamoah yɛɛ radio no yiye.
What does that word mean?,Dɛn na saa asɛmfua no kyerɛ?
We must start at the beginning.,Ɛsɛ sɛ yefi ase.
Did she hurt that kitten?,Ɛhaw sɛɛ agyinamoa no anaa?
The room was littered with scraps of paper.,Ná nkrataa kakraa bi ahyɛ ɔdan no mu ma.
I thought Asamoah would never leave.,Misusuwii sɛ sɛ́ Holah no rensan mfi hɔ da.
Asamoah had nothing to read.,Asamoah nni nhoma biara a ɔbɛ kenkan.
I've already eaten dinner.,Mawe aduan dedaw.
I live alone.,Me nkutoo na mete.
It was amusing.,Ná ɛyɛ serew.
This is gold.,Eyi yɛ sika kɔkɔɔ.
Asamoah wasn't afraid.,Asamoah nsuro.
The station is pretty far.,Wimhyɛn gyinabea no ware yiye.
She extended her stay by five days.,Ɔtraa ase nnanum.
Which do you want?,Emu nea ɛwɔ he na wopɛ?
Let me think.,Ma minsusuw ho.
I know you're in love with me.,Minim sɛ wodɔ me.
"Aside from that, is there anything else you want?","Ɛno akyi no, so biribi foforo wɔ hɔ a wopɛ?"
I forgot to put film in the camera.,Me werɛ fii sɛ mede sini bɛhyɛ afiri no mu.
Wait right here.,Twɛn wɔ ha ara.
Grammar is very complicated.,Grammar ho yɛ den yiye.
We are going to meet him tonight.,Ná yebehyia no anadwo yi ara.
A molecule of water is made up of one oxygen and two hydrogen atoms.,Nsu mu nneɛma nketenkete no mu biako ne oxygen biako ne hydrogen atɔm abien.
You can't escape from me.,Wuntumi nguan mfi me nkyɛn.
Is it possible to get to Boston by train?,So wobetumi de keteke akɔ Boston?
Asamoah is different.,Asamoah yɛ soronko.
She walks.,Ɔnantew.
Do it yourself by all means.,W'ankasa yɛ saa.
Everyone's looking at Asamoah.,Obiara rehwɛ Asamoah.
Asamoah knew the risks.,Ná Huttera nim asiane a ɛwom no.
The origin of the fire is unknown.,Yennim baabi a ogya no fi bae.
That was very rude.,Ná ɛno nkyerɛ obu koraa.
Give me a chance.,Ma me hokwan bi.
I'm very pleased to meet you today.,M'ani agye paa sɛ mahyia wo nnɛ.
Just relax a moment.,Gye w'ahome kakra.
The guy I lent my umbrella to didn't return it.,Nea ɔde me kyinii maa me no amfa amma.
He is afraid of becoming sick.,Osuro sɛ ɔyare.
The old woman gave me two interesting books.,Abrewa no maa me nhoma abien bi a ɛyɛ anigye.
Many Peruvians have the habit of chewing coca leaves.,Perufo pii taa we coca nhaban.
Asamoah doesn't know if Boatemaa is dead or alive.,Asamoah nnim sɛ Boatemaa awu anaasɛ ɔte nkwa mu.
Let's get ready.,Ma yɛnsiesie yɛn ho.
I'm a non-native speaker of English and realize there is a lot that I still need to learn.,"Menyɛ Engiresi kasa ho ɔkasafo a n'adwenem da hɔ, na mihu sɛ nneɛma pii wɔ hɔ a ɛsɛ sɛ misua."
Asamoah is always happy.,"Sɛ́ Asamoah no, n'ani gye bere nyinaa."
We had a rest in the shade.,Yenyaa ɔhome wɔ onwini no ase.
She is busy learning English.,Ɔyere ne ho resua Borɔfo kasa.
Only girls' shoes are sold here.,Mmeawa mpaboa nkutoo na wɔtɔn wɔ ha.
He requested that I come here again this afternoon.,Ɔsrɛe sɛ mensan mmra ha awia yi.
You need to look after your loved ones.,Ɛsɛ sɛ wohwɛ w'adɔfo.
Boatemaa is going to have a baby next month.,Boatemaa bɛ wo akokoaa ɔsram a edi hɔ no mu.
I want to see Asamoah in an hour.,Mepɛ sɛ mihu Asamoah wɔ dɔnhwerew biako mu.
She is hard on him.,ne nsa yɛ duru wɔ ne so
I wear white shirts on weekdays.,Ná mehyɛ ntade fitaa wɔ nna nson a ɛwɔ nawotwe mu.
I hurried and managed to catch the bus.,Meyɛɛ ntɛm faa bɔs no.
"They didn't win, did they?",So wodii nkonim?
Asamoah agreed to help Boatemaa with her work.,Asamoah penee so sɛ ɔbɛboa Boatemaa ma wɔayɛ n'adwuma no.
I bought a house.,Metɔɔ fie.
He is almost always home.,Ɛkame ayɛ sɛ ɔwɔ fie bere nyinaa.
Wood is flammable.,Nnua sɔ gya
The peacock's beautiful tail helps it attract females.,Saa aboa yi dua fɛfɛ yi boa no ma mmoa beaa no ani gye ne ho.
Can I reserve a flight to Chicago?,So metumi de wimhyɛn akɔ Chicago?
I'm right behind you.,Me gyina w’akyi pɛɛ.
It was a bad choice.,Na ɛyɛ gyinaesi a enye.
I'll go to Boston.,M’ɛkɔ Boston.
Perry visited Uraga in 1853.,Perry kɔɔ Uraga ɛwɔ 1853.
It's Monday today and it will be Tuesday tomorrow.,"Ɛyɛ Dwoda nnɛ, na ɛbɛyɛ Benada ɔkyina ."
"As soon as I can get the chance, I'll send you some money.","Sɛ minya kwan pɛ a, mede sika bi bɛ mane wo."
Maybe you need to be reminded how dangerous Asamoah is.,Ebia ɛho behia sɛ wɔkae wo sɛ nia Asamoah ho yɛ hu no.
Asamoah missed Boatemaa.,Na Asamoah ani gyina Boatemaa
Asamoah is wide awake.,Asamoah ani da hɔ paa.
Asamoah knew Boatemaa was lying to John.,Asamoah nim sɛ Boatemaa redi atoro akyerɛ John.
Asamoah seems happy.,Asamoah anigye.
I've been trying to get your attention.,Merebɔ mmɔden sɛ menya w'adwene.
There are no dogs bigger than this one.,akraman akɛse biara nsen eyi.
Everybody is equal before the law.,Obiara yɛ pɛ wɔ mmara no anim.
It was very painful.,Ná ɛyɛ yaw yiye.
"Asamoah's constant arguing irritates some of his classmates. However, most of the class has just learned to ignore him.","Esiane sɛ Koosa taa ne ne mfɛfo sukuufo no bi de akyini nti, wɔn mu dodow no ara abɔ mmɔden sɛ wobebu wɔn ani agu no so."
It's not easy.,Ɛnyɛ mmerɛw.
Asamoah put his shirt on a hanger.,Bere a Asamoah de n'atade to ade a wɔde nneɛma gu mu so no.
That was very harsh.,Ná ɛno yɛ katee paa.
Don't let that happen again!,Mma biribi a ɛte saa nsi bio!
Asamoah and I got married.,Me ne Asamoah waree.
It's your bedtime.,Ɛyɛ wo nna mmerɛ.
I don't want you.,Mempɛ wo.
He loves her.,Ɔdɔ no.
Variety is the spice of life.,Nneɛma ahorow yɛ asetra mu anigye.
"One of the children is studying, but the others are playing.","Mmofra no mu biako resua ade, nanso afoforo redi agoru."
Why don't you come inside?,Dɛn nti na wuntumi nkɔ mu?
I'd like to come to see the doctor as soon as possible.,Mepɛ sɛ mekɔ oduruyɛfo hɔ ntɛm ara sɛnea metumi biara.
She looked at him angrily.,Ɔhwɛɛ no abufuw so.
There is a park in front of my house.,Agudibea bi wɔ me fie anim.
Asamoah was indecisive.,Asamoah ntumi nsi pi.
It isn't possible to clear the snow from every road.,Wontumi nyi sukyerɛma mfi ɔkwan biara so.
Asamoah forgot to take his umbrella with him.,Asamoah were fii sɛ ɔbɛfa ne kyinii aka ne ho.
What might happen?,Dɛn na ebetumi aba?
Everything he told us was pure fabrication.,Biribiara a ɔka kyerɛɛ yɛn no yɛ nea na asɛm biara nni ho.
They say they cannot compete with low-priced foreign products.,Wɔka sɛ wontumi mfa wɔn ho nhyɛ nneɛma a enni mũ a wɔyɛ wɔ amannɔne no mu.
The bus will take time.,Ná bɔs no begye bere.
It doesn't hurt so much.,Ɛnhaw adwene pii.
Our house was robbed while we were away.,"Bere a yefii hɔ no, wowiaa yɛn fie nneɛma."
She asked about my school.,Obisaa me sukuu ho asɛm.
It appears to me that she feels much better today.,Ɛte sɛ nea ɔte nka kɛse nnɛ.
He always invites himself for dinner.,Bere nyinaa ɔto nsa frɛ ne ho didi.
I wish I could figure out how to finish this project without asking for help.,Me yam a anka mitumi hu ɔkwan a mɛfa so awie adwuma yi a menhwehwɛ mmoa.
School begins at half past eight.,Sukuu fii ase nnɔn awotwe ne fa.
You're not old.,Wommɔ akwakoraa anaa aberewa.
Rephrase the question.,Bisa asɛm bio
To lose face means to be humiliated.,Sɛ́ obi bɛhwere n'anim ase no kyerɛ sɛ wɔbɛbrɛ no ase.
What brand of cigarettes do you smoke?,Sigaret bɛn na wonom?
These tips may save your life.,Saa nyansahyɛ ahorow yi betumi agye wo nkwa.
I'll take it outside.,Mɛsan akɔ abɔnten.
She began to talk to the dog.,Ofii ase ne ɔkraman no kasae.
I don't want any distractions.,Mempɛ sɛ biribi bɛtwetwe m'adwene.
"Wait a minute, Asamoah!",Twɛn kakra Asamoah!
It is freezing cold.,Ɛyɛ awɔw a ano yɛ den.
I thought that you could speak French.,Ná misusuw sɛ wubetumi aka Franse kasa.
Were you invited to her birthday party?,Wɔtoo nsa frɛɛ wo kɔɔ n'awoda apontow ase?
My wife likes apple pie a lot.,Me yere ani gye aprɛ ho paa.
I'm still looking for Asamoah.,Meda so ara rehwehwɛ Asamoah.
We often played chess after school.,"Sɛ yɛkɔ sukuu a, naa yɛtaa bɔ chess de di agoru."
I think he'll come.,Misusuw sɛ ɔbɛba.
Asamoah had no friends to play with.,"Esiane sɛ na Asamoah nni nnamfo nti, ɔne no dii agoru."
She quickly went up the stairs.,Ɔforoo atrapoe no ntɛm ara.
I just want you to come.,Mepɛ sɛ woba bi kɛkɛ.
I bumped into your dad yesterday.,Mede me ho kɔbɔɔ wo papa ɛnnura no.
We could see the sunset from the window.,Ná yetumi hu owia no fi mpomma no mu.
A blender lets you mix different foods together.,Afiri no ma ɔka nnuan ahorow bom.
What kinds of things do you have on the computer?,Nneɛma bɛn na wowɔ wɔ kɔmputa so?
Stop being nosy.,Ɛnsɛ sɛ woma w'abam bu.
We're investigating it.,Yɛreyɛ ho nhwehwɛmu.
I saw Asamoah in concert four times.,Mihuu Isa wɔ nnwonto mu mpɛn anan.
He came just as I was leaving.,Ɔbaa hɔ bere a na merekɔ no ara pɛ.
Asamoah is single and has never been married.,"Sɛ́ Holah no, ɔyɛ sigyani, na ɔnwaree da."
I was late for the train.,Ma ka akyiri sɛ me foro train no
Not all of us can speak English.,Ɛnyɛ yɛn nyinaa na yebetumi aka Borɔfo.
Could you show me how to use that machine?,Wubetumi akyerɛ me sɛnea mede saa afiri no bedi dwuma?
Asamoah saw Boatemaa on TV.,Asamoah hunuu Boatemaa wɔ TV so
Where will you be staying?,Ɛhe na wobɛtra?
Asamoah is on duty.,Nah nso yɛ adwuma.
I begin this afternoon.,Mifii ase awia yi.
They have no claim to the property.,Wonni biribiara a ɛkyerɛ sɛ agyapade no yɛ wɔn de.
He is absorbed in reading detective novels.,Ɔde n'adwene nyinaa si ayɛsɛm nhoma ahorow so.
Did you find your car keys?,So wuhuu baabi a wode wo kar safi no si?
I'm really not interested in history.,M'ani nnye abakɔsɛm ho ankasa.
That is just typical of him.,Ɛno te saa wɔ ne fam.
Which diet is better?,Aduan bɛn na eye paa?
I want to finish the work on my own.,Mepɛ sɛ m'ankasa miwie adwuma no.
I barely escaped being hit by the truck.,Ɛkame ayɛ sɛ kar no bɔɔ me.
She bought him a camera that was too big to fit in his shirt pocket.,Ɔtɔɔ mfoninitwa afiri bi a na ɛsõ dodo sɛ ɔde bɛhyɛ n'atade kotoku mu.
You've got me.,Mo hwɛ m’akyi
Asamoah is hard to please.,Ɛyɛ den sɛ wɔbɛsɔ Asamoah ani.
Asamoah looked happy.,"Bere a Yasoah hui sɛ ɔwɔ anigye no, n'ani gyei."
This is just water.,Eyi yɛ nsu kɛkɛ.
The girl has a soft heart.,Abeawa no wɔ koma a ɛyɛ mmerɛw.
The situation is critical.,Tebea no mu yɛ den.
All of my friends go to public schools.,Me nnamfo nyinaa kɔ aban sukuu ahorow.
"He was born in England, but was educated in America.","Wɔwoo no wɔ England, nanso wɔkyerɛɛ no ade wɔ Amerika."
